"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.829" 2 2 2
"z.830" 2 2 2
"z.831" 2 2 2
"z.832" 2 2 2
"z.833" 2 2 2
"z.834" 2 2 2
"z.835" 2 2 2
"z.836" 2 2 2
"z.837" 2 2 2
"z.838" 2 2 2
"z.839" 6 6 6
"z.840" 2 2 2
"z.841" 2 2 2
"z.842" 2 2 2
"z.843" 6 6 6
"z.844" 2 2 2
"z.845" 2 2 2
"z.846" 2 2 2
"z.847" 2 2 2
"z.848" 6 6 6
"z.849" 4 4 4
"z.850" 2 2 2
"z.851" 2 2 2
"z.852" 2 2 2
"z.853" 3 3 3
"z.854" 2 2 2
"z.855" 2 2 2
"z.856" 6 6 6
"z.857" 2 2 2
"z.858" 2 2 2
"z.859" 6 6 6
"z.860" 6 6 6
"z.861" 2 2 2
"z.862" 2 2 2
"z.863" 2 2 2
"z.864" 2 2 2
"z.865" 2 2 2
"z.866" 2 2 2
"z.867" 6 6 6
"z.868" 6 6 6
"z.869" 4 4 4
"z.870" 3 3 3
"z.871" 2 2 2
"z.872" 2 2 2
"z.873" 4 4 4
"z.874" 2 2 2
"z.875" 2 2 2
"z.876" 4 4 4
"z.877" 4 4 4
"z.878" 2 2 2
"z.879" 3 3 3
"z.880" 2 2 2
"z.881" 2 2 2
"z.882" 2 2 2
"z.883" 2 2 2
"z.884" 2 2 2
"z.885" 2 2 2
"z.886" 2 2 2
"z.887" 2 2 2
"z.888" 2 2 2
"z.889" 3 3 3
"z.890" 6 6 6
"z.891" 2 2 2
"z.892" 2 2 2
"z.893" 2 2 2
"z.894" 3 3 3
"z.895" 3 3 3
"z.896" 2 2 2
"z.897" 3 3 3
"z.898" 3 3 3
"z.899" 2 2 2
"z.900" 6 6 6
"z.901" 6 6 6
"z.902" 2 2 2
"z.903" 6 6 6
"z.904" 6 6 6
"z.905" 2 2 2
"z.906" 6 6 6
"z.907" 3 3 3
"z.908" 2 2 2
"z.909" 2 2 2
"z.910" 2 2 2
"z.911" 4 4 4
"z.912" 2 2 2
"z.913" 6 6 6
"z.914" 3 3 3
"z.915" 2 2 2
"z.916" 2 2 2
"z.917" 2 2 2
"z.918" 2 2 2
"z.919" 2 2 2
"z.920" 2 2 2
"z.921" 6 6 6
"z.922" 2 2 2
"z.923" 2 2 2
"z.924" 2 2 2
"z.925" 2 2 2
"z.926" 2 2 2
"z.927" 2 2 2
"z.928" 6 6 6
"z.929" 2 2 2
"z.930" 3 3 3
"z.931" 4 4 4
"z.932" 2 2 2
"z.933" 6 6 6
"z.934" 3 3 3
"z.935" 2 2 2
"z.936" 6 6 6
"z.937" 4 4 4
"z.938" 4 4 4
"z.939" 2 2 2
"z.940" 2 2 2
"z.941" 3 3 3
"z.942" 3 3 3
"z.943" 6 6 6
"z.944" 2 2 2
"z.945" 2 2 2
"z.946" 6 6 6
"z.947" 6 6 6
"z.948" 2 2 2
"z.949" 2 2 2
"z.950" 2 2 2
"z.951" 2 2 2
"z.952" 3 3 3
"z.953" 2 2 2
"z.954" 4 4 4
"z.955" 3 3 3
"z.956" 4 4 4
"z.957" 2 2 2
"z.958" 4 4 4
"z.959" 3 3 3
"z.960" 3 3 3
"z.961" 2 2 2
"z.962" 2 2 2
"z.963" 2 2 2
"z.964" 3 3 3
"z.965" 3 3 3
"z.966" 4 4 4
"z.967" 2 2 2
"z.968" 3 3 3
"z.969" 2 2 2
"z.970" 2 2 2
"z.971" 4 4 4
"z.972" 2 2 2
"z.973" 2 2 2
"z.974" 2 2 2
"z.975" 3 3 3
"z.976" 2 2 2
"z.977" 2 2 2
"z.978" 2 2 2
"z.979" 2 2 2
"z.980" 3 3 3
"z.981" 2 2 2
"z.982" 4 4 4
"z.983" 6 6 6
"z.984" 3 3 3
"z.985" 3 3 3
"z.986" 2 2 2
"z.987" 6 6 6
"z.988" 2 2 2
"z.989" 3 3 3
"z.990" 2 2 2
"z.991" 5 5 5
"z.992" 2 2 2
"z.993" 2 2 2
"z.994" 2 2 2
"z.995" 2 2 2
"z.996" 2 2 2
"z.997" 6 6 6
"z.998" 3 3 3
"z.999" 2 2 2
"z.1000" 2 2 2
"z.1001" 2 2 2
"z.1002" 2 2 2
"z.1003" 2 2 2
"z.1004" 4 4 4
"z.1005" 2 2 2
"z.1006" 2 2 2
"z.1007" 3 3 3
"z.1008" 5 5 5
"z.1009" 3 3 3
"z.1010" 2 2 2
"z.1011" 2 2 2
"z.1012" 5 5 5
"z.1013" 2 2 2
"z.1014" 6 6 6
"z.1015" 6 6 6
"z.1016" 2 2 2
"z.1017" 2 2 2
"z.1018" 2 2 2
"z.1019" 4 4 4
"z.1020" 2 2 2
"z.1021" 2 2 2
"z.1022" 4 4 4
"z.1023" 2 2 2
"z.1024" 2 2 2
"z.1025" 2 2 2
"z.1026" 2 2 2
"z.1027" 2 2 2
"z.1028" 5 5 5
"z.1029" 4 4 4
"z.1030" 2 2 2
"z.1031" 2 2 2
"z.1032" 6 6 6
"z.1033" 2 2 2
"z.1034" 2 2 2
"z.1035" 4 4 4
"z.1036" 6 6 6
"z.1037" 2 2 2
"z.1038" 2 2 2
"z.1039" 2 2 2
"z.1040" 2 2 2
"z.1041" 2 2 2
"z.1042" 3 3 3
"z.1043" 2 2 2
"z.1044" 6 6 6
"z.1045" 2 2 2
"z.1046" 2 2 2
"z.1047" 2 2 2
"z.1048" 2 2 2
"z.1049" 2 2 2
"z.1050" 6 6 6
"z.1051" 2 2 2
"z.1052" 3 3 3
"z.1053" 2 2 2
"z.1054" 3 3 3
"z.1055" 6 6 6
"z.1056" 2 2 2
"z.1057" 2 2 2
"z.1058" 2 2 2
"z.1059" 5 5 5
"z.1060" 4 4 4
"z.1061" 3 3 3
"z.1062" 6 6 6
"z.1063" 6 6 6
"z.1064" 2 2 2
"z.1065" 2 2 2
"z.1066" 2 2 2
"z.1067" 6 6 6
"z.1068" 2 2 2
"z.1069" 3 3 3
